genus_name,mean_diam,median_diam,sd_diam,range_diam
ACER,26.953622410875244,20.32,22.256151900213936,0.635
ACER,26.953622410875244,20.32,22.256151900213936,805.1800000000001
PYRUS,11.641169520394442,10.16,5.718734500149203,0.635
PYRUS,11.641169520394442,10.16,5.718734500149203,96.52
STYRAX,10.455416460396044,7.62,27.505832730236836,1.27
STYRAX,10.455416460396044,7.62,27.505832730236836,1104.9
